record_id,campaign,tier,sent_at,headcount_band,hiring_ops_role_90d,billing_tool,angle,variant,replied,reply_class,meeting_booked
r044,Ops leaders Q3 trigger,focused,2026-08-12,200-500,no,Stripe Billing,headcount,A,no,,no
r045,Ops leaders Q3 trigger,focused,2026-08-10,200-500,no,Zuora,headcount,B,no,,no
r046,Ops leaders Q3 trigger,focused,2026-08-20,200-500,no,Zuora,headcount,B,no,,no
r047,Ops leaders Q3 trigger,focused,2026-08-20,200-500,no,Stripe Billing,headcount,B,no,,no
r048,Ops leaders Q3 trigger,focused,2026-08-11,200-500,no,Stripe Billing,headcount,B,no,,no
r049,Ops leaders Q3 trigger,focused,2026-08-11,200-500,no,Chargebee,headcount,B,no,,no
r050,Ops leaders Q3 trigger,focused,2026-08-20,200-500,no,Chargebee,headcount,B,no,,no
r051,Ops leaders Q3 trigger,focused,2026-08-04,500-1000,no,Zuora,headcount,B,no,,no
r052,Ops leaders Q3 trigger,focused,2026-08-10,500-1000,no,Stripe Billing,headcount,B,no,,no
r053,Ops leaders Q3 trigger,focused,2026-08-15,500-1000,no,Stripe Billing,headcount,B,no,,no
r054,Ops leaders Q3 trigger,focused,2026-08-11,200-500,no,Zuora,headcount,A,no,,no
r055,Ops leaders Q3 trigger,focused,2026-08-10,200-500,no,Stripe Billing,headcount,B,no,,no
r056,Ops leaders Q3 trigger,focused,2026-08-15,200-500,no,Recurly,headcount,B,no,,no
r057,Ops leaders Q3 trigger,focused,2026-08-10,200-500,no,Recurly,headcount,A,no,,no
r058,Ops leaders Q3 trigger,focused,2026-08-14,200-500,no,Recurly,headcount,B,no,,no
r059,Ops leaders Q3 trigger,focused,2026-08-16,500-1000,no,Recurly,headcount,A,no,,no
r060,Ops leaders Q3 trigger,focused,2026-08-08,200-500,no,Chargebee,headcount,A,no,,no
